1993,U.S.A,2.9045,44.5,43.6,43.23,42.94,4
2008,U.S.A,2.923166667,44.35,43.7,44.16,43.18,4
2007,U.S.A,2.925333333,44.4,43.7,44.32,43.1,4
1992,U.S.A,2.928333333,44.5,43.1,44.7,43.4,2
2004,U.S.A,2.931833333,44.5,43.6,43.98,43.83,2
1996,U.S.A,2.933166667,44.62,43.84,43.66,43.87,3
1988,U.S.A,2.936,43.79,43.69,44.74,43.94,2
1968,U.S.A,2.936666667,45,43.2,43.9,44.1,2
1996,Great Britain,2.943333333,44.92,44.19,43.62,43.87,3
2012,Bahamas,2.946,45.2,43.3,44.25,44.01,2
1997,Jamaica,2.946333333,44.5,44.4,44.37,43.51,4
2005,U.S.A,2.948166667,44.7,44.3,44.4,43.49,4
2012,U.S.A,2.951,45.1,43.7,43.41,44.85,3
1997,Great Britain,2.952666667,44.8,44.2,44.08,44.08,3
2016,U.S.A,2.954333333,45.3,43.2,44.79,43.97,2
2016,Jamaica,2.9545,45.8,44.4,43.52,43.55,3
2014,U.S.A,2.955,44.8,44.1,44.6,43.8,4
1987,U.S.A,2.955,45.1,44,44.2,44,2
1995,U.S.A,2.955833333,44.9,44.6,43.74,44.11,3
2005,Bahamas,2.955833333,44.9,44.6,44.43,43.42,4
1991,Great Britain,2.9585,44.7,44,44.22,44.59,2
1991,U.S.A,2.959,44.9,43.4,44.31,44.93,2
2009,U.S.A,2.964333333,45.34,43.61,44.76,44.15,2
1996,U.S.A,2.9645,44.59,44.33,44.32,44.63,3
1984,U.S.A,2.965166667,45.59,43.97,43.75,44.6,3
2015,U.S.A,2.966,45.2,44.2,44.38,44.18,4
1998,Poland,2.966666667,45.6,44.2,44,44.2,3
2008,Bahamas,2.967166667,45.92,44.04,44.02,44.05,3
2014,Bahamas,2.967333333,45,43.8,44.31,44.93,2
2005,Jamaica,2.968166667,44.9,44.9,44.48,43.81,4
2017,Trinidad and Tobago,2.968166667,46.1,43.5,44.41,44.08,2
2016,Jamaica,2.968333333,45.5,44,44.82,43.78,4
2001,Bahamas,2.969166667,45.1,44.5,44.42,44.13,4
1990,Great Britain,2.970333333,45.85,44.48,43.93,43.96,3
2015,U.S.A,2.9705,45.4,44,44.38,44.45,2
1995,U.S.A,2.9705,44.6,44,44.41,45.22,2
2016,U.S.A,2.971166667,45.3,43.4,44.98,44.59,2
1995,Jamaica,2.971666667,45.1,43.8,44.8,44.6,2
2015,Trinidad and Tobago,2.972,44.9,44.1,44.85,44.47,2
2001,Jamaica,2.973166667,45.71,44.5,43.88,44.3,3
2016,Bahamas,2.973166667,45.3,45.1,43.79,44.2,3
2014,Trinidad and Tobago,2.973333333,44.4,44.5,44.4,45.1,1
2003,U.S.A,2.973333333,45.4,43.6,44.7,44.7,2
1996,Jamaica,2.973666667,44.54,44.75,44.6,44.53,4
2015,U.S.A,2.973833333,44.91,44,44.8,44.72,2
2016,Belgium,2.974666667,46,44.1,44.71,43.67,4
2015,Great Britain,2.9775,45.1,44.6,44.98,43.97,4
2017,U.S.A,2.977666667,44.8,44.2,44.91,44.75,2
2000,Nigeria,2.977833333,45.18,44.49,44.7,44.3,4
2015,Jamaica,2.978,45.3,45.3,44.56,43.52,4
1998,Great Britain,2.978,45.42,44.66,44.21,44.39,3
2000,U.S.A,2.978333333,45.3,44.8,44.6,44,4
1993,U.S.A,2.9785,45.1,44,44.65,44.96,2
1976,U.S.A,2.978666667,45.3,44.62,43.8,45,3
2013,U.S.A,2.979,45,44.1,44.87,44.77,2
2015,Trinidad and Tobago,2.979666667,45.9,44.5,44.56,43.82,4
2000,Jamaica,2.979666667,45.14,44.29,44.73,44.62,2
2015,Jamaica,2.98,45.2,44.1,44.94,44.56,2
2008,Great Britain,2.980166667,45.69,44.78,44.61,43.73,4
2005,Great Britain,2.980333333,45,44.9,44.52,44.4,4
2011,U.S.A,2.980333333,45.1,43.9,43.95,45.87,2
2014,Great Britain,2.980666667,44.8,44.5,45.61,43.93,4
2000,Jamaica,2.980666667,45.86,44.37,44.16,44.45,3
1987,Great Britain,2.980833333,45.2,44.5,44.81,44.34,4
2010,U.S.A,2.981,44.6,45.5,44.53,44.23,4
2015,Great Britain,2.981166667,45.28,45.08,44.5,44.01,4
1998,Poland,2.981333333,45.89,44.13,44.55,44.31,2
2000,Jamaica,2.981666667,45,45.2,44.2,44.5,3
2004,U.S.A,2.981666667,45.4,44.5,44.6,44.4,4
2015,Bahamas,2.981833333,45.66,44.5,44.58,44.17,4
2012,U.S.A,2.982,45.9,45,43.65,44.37,3
2016,Bostwana,2.982,44.8,43.9,44.94,45.28,2
2003,France,2.982333333,45.4,44.7,44.69,44.15,4
2012,Bahamas,2.982666667,45.4,44.2,44.78,44.58,2
2017,Great Britain,2.983166667,45.4,44.2,44.97,44.42,2
1999,Poland,2.983333333,45,44.4,44.9,44.7,2
1981,U.S.A,2.983666667,45.2,44.41,44.48,44.93,2
1987,U.S.A,2.985,45.3,44.6,44.7,44.5,4
1992,U.S.A,2.985,45.6,44.7,44.3,44.5,3
1984,Great Britain,2.9855,45.87,44.74,44.17,44.35,3
1992,Cuba,2.9855,45.6,44.38,44.81,44.34,4
2015,Great Britain,2.985833333,45.3,44.2,45.37,44.28,2
